DA_losses,DB_losses,D_losses,G_losses,gA_d_losses_synthetic,gA_losses_reconstructed,gB_d_losses_synthetic,gB_losses_reconstructed,reconstruction_losses
0.34269542,0.3451019,0.6877973,"[20.88589, 0.84634656, 1.1617789, 0.33311942, 0.4715136]",0.84634656,0.33311942,1.1617789,0.4715136,0.804633
0.28426564,0.26210275,0.54636836,"[19.591959, 0.768162, 1.0957078, 0.45115426, 0.50210583]",0.768162,0.45115426,1.0957078,0.50210583,0.95326006
0.29051268,0.24920708,0.53971976,"[17.586145, 0.6501071, 1.0023931, 0.5582182, 0.5029254]",0.6501071,0.5582182,1.0023931,0.5029254,1.0611436
0.16834441,0.2624241,0.43076852,"[16.558935, 0.6147094, 0.91917855, 0.6324524, 0.58760524]",0.6147094,0.6324524,0.91917855,0.58760524,1.2200577
0.14111406,0.18372387,0.32483792,"[14.245569, 0.47872123, 0.8267819, 0.5962994, 0.5942395]",0.47872123,0.5962994,0.8267819,0.5942395,1.1905389
0.12200573,0.19179031,0.31379604,"[13.432572, 0.4523743, 0.7606804, 0.6757281, 0.6262977]",0.4523743,0.6757281,0.7606804,0.6262977,1.3020258
0.16273443,0.15076368,0.3134981,"[12.643943, 0.45472303, 0.67077225, 0.68901205, 0.69997686]",0.45472303,0.68901205,0.67077225,0.69997686,1.388989
0.15189496,0.118623525,0.27051848,"[11.382224, 0.39807472, 0.6012313, 0.6767585, 0.7124063]",0.39807472,0.6767585,0.6012313,0.7124063,1.3891648
0.05116065,0.09636524,0.14752589,"[9.819449, 0.26734683, 0.56118554, 0.7713516, 0.7627743]",0.26734683,0.7713516,0.56118554,0.7627743,1.5341258
0.042492677,0.077951625,0.1204443,"[8.936392, 0.24358843, 0.49788085, 0.74597365, 0.7757252]",0.24358843,0.74597365,0.49788085,0.7757252,1.5216988
0.048908673,0.06358411,0.112492785,"[8.463921, 0.24001427, 0.4490043, 0.79364944, 0.78008544]",0.24001427,0.79364944,0.4490043,0.78008544,1.5737349
0.07390806,0.0632818,0.13718987,"[8.282199, 0.2491796, 0.4147704, 0.8059712, 0.8367282]",0.2491796,0.8059712,0.4147704,0.8367282,1.6426995
0.10879433,0.07104418,0.17983851,"[7.123372, 0.1807838, 0.3749511, 0.7813785, 0.784645]",0.1807838,0.7813785,0.3749511,0.784645,1.5660236
0.051005825,0.03634526,0.087351084,"[6.8543205, 0.17798893, 0.3389955, 0.819638, 0.8648387]",0.17798893,0.819638,0.3389955,0.8648387,1.6844767
0.08284674,0.041467525,0.12431426,"[7.070456, 0.2141804, 0.32557088, 0.80833113, 0.8646121]",0.2141804,0.80833113,0.32557088,0.8646121,1.6729432
0.039404012,0.026142657,0.06554667,"[7.2611113, 0.2140078, 0.33766055, 0.8664283, 0.8779991]",0.2140078,0.8664283,0.33766055,0.8779991,1.7444274
0.07732739,0.03394804,0.111275434,"[7.6892776, 0.3003042, 0.30283684, 0.8089959, 0.8488714]",0.3003042,0.8089959,0.30283684,0.8488714,1.6578673
0.030899595,0.01731102,0.048210613,"[7.5246286, 0.2611399, 0.31573284, 0.8664768, 0.88942426]",0.2611399,0.8664768,0.31573284,0.88942426,1.7559011
0.10074194,0.012184024,0.11292596,"[7.6600666, 0.25736567, 0.3327481, 0.8614032, 0.8975258]",0.25736567,0.8614032,0.3327481,0.8975258,1.758929
0.02968126,0.015392616,0.045073874,"[6.735502, 0.20971017, 0.29014316, 0.8711178, 0.86585087]",0.20971017,0.8711178,0.29014316,0.86585087,1.7369686
0.0117712235,0.014157236,0.02592846,"[6.6487126, 0.21879901, 0.27095217, 0.87656915, 0.874632]",0.21879901,0.87656915,0.27095217,0.874632,1.7512012
0.010167518,0.011010634,0.021178152,"[6.1462927, 0.18318693, 0.25416374, 0.8679808, 0.90480477]",0.18318693,0.8679808,0.25416374,0.90480477,1.7727855
0.013127384,0.015103392,0.028230775,"[6.3748965, 0.17194176, 0.28800926, 0.8608501, 0.91453594]",0.17194176,0.8608501,0.28800926,0.91453594,1.7753861
0.039511833,0.008615812,0.048127644,"[5.7059383, 0.14704625, 0.24748205, 0.85327494, 0.9073808]",0.14704625,0.85327494,0.24748205,0.9073808,1.7606558
0.030531935,0.009734573,0.040266506,"[5.665419, 0.14760791, 0.24026705, 0.88474524, 0.90192395]",0.14760791,0.88474524,0.24026705,0.90192395,1.7866693
0.117641255,0.012186031,0.12982729,"[6.4763927, 0.24683738, 0.2302291, 0.8010762, 0.9046519]",0.24683738,0.8010762,0.2302291,0.9046519,1.705728
0.3339772,0.044059835,0.37803704,"[5.991636, 0.23271143, 0.21077685, 0.6135535, 0.9431992]",0.23271143,0.6135535,0.21077685,0.9431992,1.5567527
0.14627418,0.0831167,0.22939089,"[5.6263094, 0.15765838, 0.24134862, 0.77903515, 0.8572041]",0.15765838,0.77903515,0.24134862,0.8572041,1.6362393
